Filename,Full Observation,Core Observation Sentence,Contains Cause & Effect? (yes/no),Cause related to engineered products? (yes/no),Effect related to economic impact? (yes/no),Relevant Portion of the Observation
The economic impact of licensed commercialized inventions originating in university research.txt," Furthermore,  our  approachaccounts  for  the  fact  that  university  expenditures  of  their  licens- ing  income  have  signiﬁcant  indirect  and  induced  economic  impact and  thus  should  be  included  in  any  national  (or,  for  that  matter, regional)  impact  estimates.  Finally,  although  we  were  unable  to obtain  consistent  data  on  university  income  from  license-related R&D  contracts, these too add to the total university economic impact  of  licensing.20 20We are grateful to a referee for this article who identiﬁed a number of additional factors  that  are  not  accounted  for  in  our  model  but  which,  if  included,  would  sig- niﬁcantly  add  to  the  total  national  economic  impact  of  university  licensing  activity. Among  these  are:  university-based  start-ups,  which  may  pay  no  or  very  low  roy- alty  rates,  but  which  may  collectively  have  greater  impact  on  GDP  than  all  other licensees;  royalty  payments  cease  after  some  period  because  patents  expire  or because  of  the  terms  speciﬁed  in  the  license,  but  economic  impacts  of  the  prod- ucts  represented  may  well  continue;  as  a  result  of  a  successful  license,  a  company may  move  into  a  related  product  area  that  does  not  require  licensing  yet  produces signiﬁcant  economic impact; new products can have substantial positive economic effects  not  reﬂected  in  sales  ﬁgures,  such  as  reduced  costs  to  product  purchasers and improvements in health or the environment.D.  Roessner  et  al.  /  Research  Policy  42 (2013) 23–  34 33 We  have  been  careful  to  employ  conservative  assumptions  at all  points  requiring  that  some  judgments  be  made.","Among  these  are:  university-based  start-ups,  which  may  pay  no  or  very  low  roy- alty  rates,  but  which  may  collectively  have  greater  impact  on  GDP  than  all  other licensees;  royalty  payments  cease  after  some  period  because  patents  expire  or because  of  the  terms  speciﬁed  in  the  license,  but  economic  impacts  of  the  prod- ucts  represented  may  well  continue;  as  a  result  of  a  successful  license,  a  company may  move  into  a  related  product  area  that  does  not  require  licensing  yet  produces signiﬁcant  economic impact; new products can have substantial positive economic effects  not  reﬂected  in  sales  ﬁgures,  such  as  reduced  costs  to  product  purchasers and improvements in health or the environment.D",yes,yes,yes,"""Among  these  are:  university-based  start-ups,  which  may  pay  no  or  very  low  roy- alty  rates,  but  which  may  collectively  have  greater  impact  on  GDP  than  all  other licensees;  royalty  payments  cease  after  some  period  because  patents  expire  or because  of  the  terms  speciﬁed  in  the  license,  but  economic  impacts  of  the  prod- ucts  represented  may  well  continue;  as  a  result  of  a  successful  license,  a  company may  move  into  a  related  product  area  that  does  not  require  licensing  yet  produces signiﬁcant  economic impact; new products can have substantial positive economic effects  not  reﬂected  in  sales  ﬁgures,  such  as  reduced  costs  to  product  purchasers and improvements in health or the environment.D"""
The economic impact of licensed commercialized inventions originating in university research.txt," More  quantitative  research on  what  are  the  product  substitution  rates  of  technologies  associ- ated  with  university  licenses  would  also  be  very  important.  One possible  approach  might  be  to  obtain  this  information  inferentially by  looking  at  the  license  revenue  life  cycle  of  some  large  sample of  university  patents,  obtain  a  frequency  distribution  of  revenues, and  analyze the associated statistics (Feller, 2011 ). Although  somewhat outside the scope of our effort, approaches similar  to  ours  could  be  used  to  estimate  the  national  economic impact  of  pre-production  investments  in  university-licensed  tech- nology.  This  would  require  sizeable  effort  and  expense,  given  that the  data  must  be  acquired  at  individual  universities,  but  it  may  be feasible  to  develop  a  representative  sample  of  universities  and  fol- low  the Pressman et al.’s approach, combined with our approach to estimating  impact  on  GDP  and  employment,  to  generate  national economic  impact  estimates  of  pre-production  investments.  Adding these  results  to  post-production  estimates  would  yield  improved estimates  of  university  licensing’s  total  contribution  to  the  national economy.","Although  somewhat outside the scope of our effort, approaches similar  to  ours  could  be  used  to  estimate  the  national  economic impact  of  pre-production  investments  in  university-licensed  tech- nology",no,,,
The economic impact of licensed commercialized inventions originating in university research.txt,"nonexclusive licenses) the uni- versity  IP  may  not  be  fully  responsible  for  the  new  product  and its  sales.  Of  course,  additional  research  on  the  economic  impact  of other  manifestations  of  the  value  of  university  IP,  notably  start-ups and  the taking of equity positions, would further expand our knowl- edge  of  the  economic  impact  of  university  research  and  licensing. It  should  be  noted  that  our  approach  can  be  used  to  estimate the  regional economic impact of single universities by employing a regional input–output model  and  the  university’s  own  data  on licensing  income and range of royalty rates. Since individual uni- versities have a much better idea of the range of royalty rates they use  and  the  distribution  of  licenses  by  industry,  they  can  generate a narrower range of impact estimates than we have been able to do  with  national  data  and  widely  ranging  assumptions  concerningroyalty  rates.  It  would  also  be  necessary  to  exclude  from  the  calcu- lations  licenses  to  companies  located  outside  the  region  or  country of  interest.",It  should  be  noted  that  our  approach  can  be  used  to  estimate the  regional economic impact of single universities by employing a regional input–output model  and  the  university’s  own  data  on licensing  income and range of royalty rates,no,,,
The economic impact of licensed commercialized inventions originating in university research.txt," Research  Policy 27,  677–687. Martin, F., Trudeau, M., 1998. The economic impact of university research. Research File 2,  3.  Association  of  Universities  and  Colleges  of  Canada,  1–7.Mowery, D.,  Nelson,  R.R.,  Sampat,  B.N.,  Ziedonis,  A.A.,  2001.",The economic impact of university research,no,,,
The economic impact of licensed commercialized inventions originating in university research.txt," AUTM  Journal  7, 28–48. Pressman,  L., 2002. What is known and knowable about the economic impact of university technology  transfer  programs?  In:  Presented  at  the  2002  Annual Meeting  of  the  National  Association  of  State  Universities  and  Land  Grant  Col- leges,  Chicago. Roessner, D., 2000. Outcomes and Impacts of the State/Industry University Cooper- ative Research  Centers  (S/IUCRC)  Program.","What is known and knowable about the economic impact of university technology  transfer  programs?  In:  Presented  at  the  2002  Annual Meeting  of  the  National  Association  of  State  Universities  and  Land  Grant  Col- leges,  Chicago",no,,,
The economic impact of licensed commercialized inventions originating in university research.txt," Oxford  Review  of  Economic Policy  23,  620–639. Vincett, P.S., 2010. The economic impacts of academic spin-off companies, and their implications. Research  Policy  39,  736–747..","The economic impacts of academic spin-off companies, and their implications",no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"Contents lists available at ScienceDirect Research Policy journal homepage: www.elsevier.com/locate/respol The economic impact of technological procurement for large-scale research infrastructures: Evidence from the Large Hadron Collider at CERN Paolo Castelnovoa, Massimo Florioa,⁎, Stefano Forteb, Lucio Rossic,d, Emanuela Sirtorie aDepartment of Economics, Management, Quantitative Methods, Università degli Studi di Milano, Italy bTIF Lab, Department of Physics, Università degli Studi di Milano and INFN, Sezione di Milano, Italy cCERN - Accelerator & Technology Sector, Geneva, CH dDepartment of Physics, Università degli Studi di Milano, Italy eCSIL Centre for Industrial Studies, Milano, Italy ARTICLE INFO JEL classi ﬁcations: O30 O33Q55 Keywords: Public procurement CERN Large hadron colliderTechnological spilloversABSTRACT The Large Hadron Collider at CERN, the European Organisation for Nuclear Research, is the world ’s highest-energy particle accelerator. Its construction (1995 –2008) required frontier technologies and close collaboration between CERN scientists and contracting ﬁrms. The literature on “Big Science ”projects suggests that this collaboration generated economic spillovers, particularly through technological learning.","Contents lists available at ScienceDirect Research Policy journal homepage: www.elsevier.com/locate/respol The economic impact of technological procurement for large-scale research infrastructures: Evidence from the Large Hadron Collider at CERN Paolo Castelnovoa, Massimo Florioa,⁎, Stefano Forteb, Lucio Rossic,d, Emanuela Sirtorie aDepartment of Economics, Management, Quantitative Methods, Università degli Studi di Milano, Italy bTIF Lab, Department of Physics, Università degli Studi di Milano and INFN, Sezione di Milano, Italy cCERN - Accelerator & Technology Sector, Geneva, CH dDepartment of Physics, Università degli Studi di Milano, Italy eCSIL Centre for Industrial Studies, Milano, Italy ARTICLE INFO JEL classi ﬁcations: O30 O33Q55 Keywords: Public procurement CERN Large hadron colliderTechnological spilloversABSTRACT The Large Hadron Collider at CERN, the European Organisation for Nuclear Research, is the world ’s highest-energy particle accelerator",no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"All rights reserved. Tincluding superconductivity, cryogenics, electromagnets, ultra-high vacuum, distributed computing, rad-resistance materials, and fast electronics ( Evans, 2009 ;Giudice, 2010). The large number of sup- pliers, the international scope of procurement, the wide range of sec-tors, and the duration of the construction process o ﬀer an ideal setting for our central research question: namely, how best to measure theeconomic impact of technological procurement on the performance of suppliers in Big Science. In fact, when the introduced innovation is so radical as to constitute a discontinuity, it may generate technological advances that pervade many sectors and have a protracted impact on the entire economic system. Such innovations, described as “General Purpose Technologies ” (GPTs), have been investigated, among others, by Bresnahan and Trajtenberg (1995) ;Helpman (1998) , and Jovanovic and Rousseau (2005) .","The large number of sup- pliers, the international scope of procurement, the wide range of sec-tors, and the duration of the construction process o ﬀer an ideal setting for our central research question: namely, how best to measure theeconomic impact of technological procurement on the performance of suppliers in Big Science",no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"Important insights are also o ﬀered by Salter and Martin (2001) ; for a more general discussion see Stephan (1996) and Price (1984) . For qualitative case studies, see inter alia Fahlaender (2016) on the impact of two accelerators (HIE-ISOLDE and ESS) on local ﬁrms, Pero (2013) on three accelerators for material science (Elettra Synchrotron in Trieste, ESRF synchrotron in Grenoble, and XFEL in Hamburg), and OECD (2014) with a speci ﬁc focus on LHC magnets, a core feature of the accelerator that is discussed in some detail by Rossi and Todesco (2009) , and hadron therapy ( Battistoni et al., 2016 ). For approaches to measuring the socio-economic impact of RIs through input-output modeling or other aggregate methods, see HAL Innovation Policy Economics (2013) on the TRIUMF particle physics laboratory in Canada, and Garcia-Montalvo and Raya (2016) on the ALBA synchrotron in Barcelona. Previous research on the economic repercussions of CERN pro- curement mainly drew on surveys of suppliers. This literature stressedindustrial knowledge spillovers ( Schmied, 1977 ;Bianchi-Streit et al., 1984 ;Autio et al., 2003 ,2004 ;Autio, 2014 ) and considered the im- portant role of CERN itself as a risk-taker in the realisation of complex scienti ﬁc projects ( Unnervik, 2009 ).Autio et al.","For approaches to measuring the socio-economic impact of RIs through input-output modeling or other aggregate methods, see HAL Innovation Policy Economics (2013) on the TRIUMF particle physics laboratory in Canada, and Garcia-Montalvo and Raya (2016) on the ALBA synchrotron in Barcelona",no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"Obviously, this consideration ab-stracts from potential issues related to competition in supplier markets, such as concentration and market power, which should be investigated in further research. Conceivably, in some distant future scientists and engineers may ﬁnd some practical application for the Higgs boson; however, market responses to investments in science are observable on a much shorter horizon (a decade or so for the median order during the construction of the LHC). These responses are mediated by high-tech ﬁrms involved in the procurement process, and in principle, the economic impact can bequanti ﬁed. Obviously, there are other important channels for the pro- pagation of the social bene ﬁts of Big Science, such as human capital and cultural eﬀects (Martin and Irvine, 2001; Florio et al., 2016) or tech- nology transfer ( Nielsen and Anelli, 2016 ). We do not claim that all large-scale research infrastructure projects can be justi ﬁed by means of technological procurement spillovers alone, but it is worthwhile to re-cord their bene ﬁts systematically and measure them against investment costs.","These responses are mediated by high-tech ﬁrms involved in the procurement process, and in principle, the economic impact can bequanti ﬁed",no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"26 (1 –2), 121–133. Bergman,  E.M., 1990. The economic impact of industry-funded university R&D. Res. Policy 19, 340 –355.",The economic impact of industry-funded university R&D,no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"AIP Conference Proceedings 1753 (1) . Florio, M., Forte, S., Sirtori, E., 2016. Forecasting the socio-economic impact of the Large Hadron Collider: a cost-bene ﬁt analysis to 2025 and beyond. Technol. Forecasting Social Change 112, 38 –53.",Forecasting the socio-economic impact of the Large Hadron Collider: a cost-bene ﬁt analysis to 2025 and beyond,no,,,
The economic impact of technological procurement for large-scale research infrastructures - Evidence from the Large Hadron Collider at CERN..txt,"Policy 43 (2), 301 –317. Martin, F., 1998. The economic impact of Canadian university R&D. Res. Policy 27, 677–687.",The economic impact of Canadian university R&D,no,,,
The economic impact of universities - Evidence from across the globe..txt,"Contents lists available at ScienceDirect Economics of Education Review journal homepage: www.elsevier.com/locate/econedurev The economic impact of universities: Evidence from across the globe Anna Valeroa,⁎, John Van Reenenb aLondonSchoolofEconomicsandCentreforEconomicPerformance,HoughtonStreet,LondonWC2A2AE bMITDepartmentofEconomics,CentreforEconomicPerformanceandNBER,77MassachusettsAve,Cambridge,MA02139,USA ARTICLE INFO Keywords: Universities Growth Human capital Innovation JELNo: I23I25 J24 O10 O31ABSTRACT We develop a new dataset using UNESCO source materials on the location of nearly 15,000 universities in about 1,500 regions across 78 countries, some dating back to the 11th Century. We estimate fixed effects models at thesub-national level between 1950 and 2010 and find that increases in the number of universities are positively associated with future growth of GDP per capita (and this relationship is robust to controlling for a host of observables, as well as unobserved regional trends). Our estimates imply that a 10% increase in a region'snumber of universities per capita is associated with 0.4% higher future GDP per capita in that region.","Contents lists available at ScienceDirect Economics of Education Review journal homepage: www.elsevier.com/locate/econedurev The economic impact of universities: Evidence from across the globe Anna Valeroa,⁎, John Van Reenenb aLondonSchoolofEconomicsandCentreforEconomicPerformance,HoughtonStreet,LondonWC2A2AE bMITDepartmentofEconomics,CentreforEconomicPerformanceandNBER,77MassachusettsAve,Cambridge,MA02139,USA ARTICLE INFO Keywords: Universities Growth Human capital Innovation JELNo: I23I25 J24 O10 O31ABSTRACT We develop a new dataset using UNESCO source materials on the location of nearly 15,000 universities in about 1,500 regions across 78 countries, some dating back to the 11th Century",no,,,
The economic impact of universities - Evidence from across the globe..txt,"These were communities with administrative autonomy, courses of study, publicly recognised degrees and research objectives and were distinct from the religion-based institutions that came before (De Ridder-Symoens & Rüegg, 1992). Since then, universities have spread worldwide in broadly the same form, and it has been argued that they were an important force in the Commercial Revolution through the development of legal institutions (Cantoni & Yuchtman, 2014) and the industrial revolution through their role in the building of knowledge and its dissemination (Mokyr, 2002). While there is an extensive literature on human capital and growth, there is relatively little research on the economic impact of universities themselves. In this paper, we develop a new dataset using the World Higher Education Database (WHED) that contains the location of uni- versities in 1,500 regions across 78 countries in the period since World War II (when consistent sub-national economic data are available). We focus on how university formation is correlated with future economicgrowth.","While there is an extensive literature on human capital and growth, there is relatively little research on the economic impact of universities themselves",no,,,
The economic impact of universities - Evidence from across the globe..txt,"Universitysizeandquality A concern with our econometric strategy is that our use of university numbers is a very imperfect measure of university presence. Universities are not homogeneous, but vary in size and quality. Clearly, both of these dimensions are likely to matter in terms of economic impact (although it is not obvious why this would necessarily generate anyupwards bias in our estimates). An alternative measure would be to use changes in enrolments over time. Even if such data were availablefor all countries (which it is not) one would be particularly concerned about demand side endogeneity driving enrolments.","Clearly, both of these dimensions are likely to matter in terms of economic impact (although it is not obvious why this would necessarily generate anyupwards bias in our estimates)",no,,,
The economic impact of universities - Evidence from across the globe..txt,"Summaryonrobustness We have shown that our results are robust to different specification and, to the extent that the data allow, consideration of the size and quality dimensions. However, this framework does not allow us to ad- dress potential endogeneity due to time-varying unobservables. Although there is no direct way to address this without an external instrumental variable, there are non-trivial time lags between (i) an unobservable local shock and a policy decision to build a university; (ii) the decision to build and opening up of the institution and (iii) the opening of the university and the economic impact. Hence, in our view such local shocks are unlikely to be the reason we observe the re- lationships documented in our data. 3.4.","Although there is no direct way to address this without an external instrumental variable, there are non-trivial time lags between (i) an unobservable local shock and a policy decision to build a university; (ii) the decision to build and opening up of the institution and (iii) the opening of the university and the economic impact",no,,,
The economic impact of universities - Evidence from across the globe..txt,"Column (3)considers the raw correlation between lagged uni- versity growth and current patent stock growth (including only yeardummies), and shows it is positive but not significant. Column (4)then adds the standard controls with little effect. This analysis provides tentative evidence that innovation is part of the story of why universities have an economic impact, though not theentire story. This may be because the effect of newer universities on patents takes a while to accumulate.4.3. Institutionsanddemocracy The use of country fixed effects throughout our analysis should rule out the possibility that the effects of universities simply reflect different(time invariant) institutions, since these tend to differ mainly at the country level.","This analysis provides tentative evidence that innovation is part of the story of why universities have an economic impact, though not theentire story",no,,,
The economic impact of universities - Evidence from across the globe..txt,"Valero, A. (2018). The local economic impact of universities: Evidence from UK Firms, mimeo. Watzinger, M., Treber, L., & Schnitzer, M. (2018).","The local economic impact of universities: Evidence from UK Firms, mimeo",no,,,
The EUs farm-to-fork strategy - An assessment from the perspective of agricultural economics.txt,"See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License whether most consumers will share this view remains to be seen. EU policy makers have it in their hands to implement the necessary institutional changes. KEYWORDS agriculture policy, economic impact, EU, farm to fork strategy JEL CLASSIFICATION Q1, Q2, Q5, L5 The European Green Deal (EGD) is one of the six political priorities of the von der Leyen Commission. It aims at making Europe the first climate-neutral continent by 2050. The EGD includes several strategies for achieving its objective, with the Farm to Fork (F2F) strategy at its heart (EC, 2020b ).","KEYWORDS agriculture policy, economic impact, EU, farm to fork strategy JEL CLASSIFICATION Q1, Q2, Q5, L5 The European Green Deal (EGD) is one of the six political priorities of the von der Leyen Commission",no,,,
The EUs farm-to-fork strategy - An assessment from the perspective of agricultural economics.txt,"( 2021), Henning et al. ( 2021), and Noleppa and Cartsburg ( 2021). Studies on the economic impacts mainly include those F2F actions linked to quantitative targets. The soft targets are more difficult toassess, although they might be even more relevant (Purnhagen, 2022). Furthermore, from an economic perspective, it is obvious that implementing the F2F strategy will not be a costless exercise.",Studies on the economic impacts mainly include those F2F actions linked to quantitative targets,no,,,
The EUs farm-to-fork strategy - An assessment from the perspective of agricultural economics.txt,"Here are also important trade- offs to consider. Although using herbicide-tolerant crops has often increased the adoption of reduced or zero tillage practices with a marked positive impact on biodiversity (Smythet al., 2011), it has been criticized because of the perceived negative effects on the environment and human health. This has resulted at several places in the ban of glyphosate-based herbicides.TABLE 6 Study results on the aggregate economic impact of the F2F strategy Farm incomeFood expenditure GDPEU production value (billion) Author Increase Increase DecreasecBarreiro-Hurle et al. /C016% 153.2 USD/capita/C084.2 billion USDdBeckman et al. Decrease /C0140 Euro Bremmer et al.",This has resulted at several places in the ban of glyphosate-based herbicides.TABLE 6 Study results on the aggregate economic impact of the F2F strategy Farm incomeFood expenditure GDPEU production value (billion) Author Increase Increase DecreasecBarreiro-Hurle et al,no,,,
The EUs farm-to-fork strategy - An assessment from the perspective of agricultural economics.txt,"Farmers' incomes within the EU are expected to increase. The F2Fstrategy results in the redistribution of rents from consumers to farmers in the EU. Studies assessing the economic impact of the F2F strategy reveal, on average, a decline in welfare within the EU due to the F2F targets' implementation. However, the studies do not completelyquantify the environmental and health benefits of the F2F strategy. Doubts remain regarding whether its impacts on the environment and human health will be sufficient to compensate forTHE EU FARM-TO-FORK STRATEGY 1839  20405804, 2022, 4, Downloaded from https://onlinelibrary.wiley.com/doi/10.1002/aepp.13239, Wiley Online Library on [08/02/2023].","Studies assessing the economic impact of the F2F strategy reveal, on average, a decline in welfare within the EU due to the F2F targets' implementation",yes,no,,
the global CARDIOVASCULAR INNOVATION CENTER..txt," Being cardiovascular-focused, the GCIC  has recruited its staff from the cardiovascular indus - try .  Although the management and technical staff is  lean – comprising only five full time employees – the  team represents over 60 years of directly related prod - uct development, business development, and market - ing experience along with 24 issued patents in the field  and dozens of product introductions.  This experience  is offered as a resource to the portfolio companies to  help them make wise product development and busi - ness decisions, and as a means for referrals to pre- qualified resources in areas such as clinical, regulatory ,  reimbursement, and intellectual property strategy .  The  result is acceleration of product development schedules  and avoidance of common pitfalls.    Establish and rely on advisory boards.","This experience  is offered as a resource to the portfolio companies to  help them make wise product development and busi - ness decisions, and as a means for referrals to pre- qualified resources in areas such as clinical, regulatory ,  reimbursement, and intellectual property strategy",no,,,
the global CARDIOVASCULAR INNOVATION CENTER..txt," Although the management and technical staff is  lean – comprising only five full time employees – the  team represents over 60 years of directly related prod - uct development, business development, and market - ing experience along with 24 issued patents in the field  and dozens of product introductions.  This experience  is offered as a resource to the portfolio companies to  help them make wise product development and busi - ness decisions, and as a means for referrals to pre- qualified resources in areas such as clinical, regulatory ,  reimbursement, and intellectual property strategy .  The  result is acceleration of product development schedules  and avoidance of common pitfalls.    Establish and rely on advisory boards.   Despite the  deep industry experience of the staff, GCIC established  external advisory boards to help guide and govern the  process of making funding decisions.",The  result is acceleration of product development schedules  and avoidance of common pitfalls,no,,,
The impact of innovation and innovation subsidies on economic development in German regions..txt,"Full Terms & Conditions of access and use can be found at https://www.tandfonline.com/action/journalInformation?journalCode=cres20 Regional Studies ISSN: 0034-3404 (Print) 1360-0591 (Online) Journal homepage: https://www.tandfonline.com/loi/cres20 The impact of innovation and innovation subsidies on economic development in German regions Uwe Cantner, Eva Dettmann, Alexander Giebler, Jutta Guenther & Maria Kristalova To cite this article:  Uwe Cantner, Eva Dettmann, Alexander Giebler, Jutta Guenther & Maria Kristalova (2019) The impact of innovation and innovation subsidies on economic development in German regions, Regional Studies, 53:9, 1284-1295, DOI: 10.1080/00343404.2019.1639656 To link to this article:  https://doi.org/10.1080/00343404.2019.1639656 View supplementary material  Published online: 05 Aug 2019. Submit your article to this journal  Article views: 1013 View related articles  View Crossmark data Citing articles: 15 View citing articles  The impact of innovation and innovation subsidies on economic development in German regions Uwe Cantnera, Eva Dettmannb, Alexander Gieblerc, Jutta Guentherd and Maria Kristalovae ABSTRACT Public innovation subsidies in a regional environment are expected to unfold a positive economic impact over time. The focus of this paper is on an assessment of the long-run impact of innovation and innovation subsidies in Germanregions. This is scrutinized by an estimation approach combining panel model and time-series characteristics and using regional data for the years 1980 –2014.","Submit your article to this journal  Article views: 1013 View related articles  View Crossmark data Citing articles: 15 View citing articles  The impact of innovation and innovation subsidies on economic development in German regions Uwe Cantnera, Eva Dettmannb, Alexander Gieblerc, Jutta Guentherd and Maria Kristalovae ABSTRACT Public innovation subsidies in a regional environment are expected to unfold a positive economic impact over time",no,,,
The impact of product-process complexity and new product development order winners on new product development performance - The mediating role of collaborative competence..txt,"The  impact  of  product-process  complexity  and  new  product development  order  winners  on  new  product  development performance:  The  mediating  role  of  collaborative  competence Atanu  Chaudhuria,*,  Harry  Boerb aCenter  for  Industrial  Production,  Aalborg  University,  A.C.  Meyers  Vænge  15,  2450  Copenhagen,  Denmark bCenter  for  Industrial  Production,  Aalborg  University,  Fibigerstraede  10/2.02,  9220  Aalborg,  Denmark A  R  T  I  C  L  E  I  N  F  O Article  history: Received  6  January  2015 Received  in  revised  form  21  October  2016 Accepted  24  October  2016 Available  online  31  October  2016 Keywords: NPD  order  winners Product-process  complexity Collaborative  competence NPD  performanceA  B  S  T  R  A  C  T The  role  of  New  Product  Development  (NPD)  order  winners  and  product-process complexity  as  antecedents  of  collaborative  competence  has  not  been  explored  in  the literature.  The  purpose  of  this  paper  is  to  test  the  mediating  effect  of  collaborative competence  on  the  relationships  between  NPD  order  winners  and  product-process complexity,  and  NPD  performance.","The  impact  of  product-process  complexity  and  new  product development  order  winners  on  new  product  development performance:  The  mediating  role  of  collaborative  competence Atanu  Chaudhuria,*,  Harry  Boerb aCenter  for  Industrial  Production,  Aalborg  University,  A.C",no,,,
The impact of product-process complexity and new product development order winners on new product development performance - The mediating role of collaborative competence..txt," Kaynak  and  Hartley  (2008)  ﬁnd  that  ﬁrms  with  close relationships  with  suppliers  encourage  early  supplier  involvement  in  the  design  process,  to  offer  suggestions  for  product and/or  component  simpli ﬁcation.  Clark  (1989)  reports  that  strong  relationships  with  suppliers  contributed  to  four  to  ﬁve months  of  lead-time  reduction  achieved  by  Japanese  auto  manufacturers.  Collaboration  with  suppliers  in  new  product development  helps  to  identify  and  solve  potential  problems  up-front  (Zirger  and  Hartley,  1994 ),  which  leads  to  higher product  quality  (Fynes  et  al.,  2005;  Hoegl  and  Wagner,  2005 )  and  ensures  that  the  product  meets  or  exceeds  the  customers ’ expectations  (Ragatz  et  al.,  2002 ).  Rooney  (2002)  reports  how  supplier  partnering  resulted  in  open  communication,  higher responsiveness,  quicker  problem  solving,  and  improved  products,  processes  and  services. Customer  integration  involves  joint  decision  making  with  customers  and  tailoring  internal  activities  to  meet  customer requirements,  and  may  provide  access  to  external  knowledge  and  resources  and,  thus,  help  improve  innovation  capabilities (Lin  et  al.,  2010 ).","Collaboration  with  suppliers  in  new  product development  helps  to  identify  and  solve  potential  problems  up-front  (Zirger  and  Hartley,  1994 ),  which  leads  to  higher product  quality  (Fynes  et  al.,  2005;  Hoegl  and  Wagner,  2005 )  and  ensures  that  the  product  meets  or  exceeds  the  customers ’ expectations  (Ragatz  et  al.,  2002 )",yes,no,,
The impact of product-process complexity and new product development order winners on new product development performance - The mediating role of collaborative competence..txt," Enkel  et  al.  (2005)  identify  loss  of  know-how  to  disloyal  customers,  dependence  on customers ’  views,  demands  or  personality,  restriction  to  incremental  innovation  and  misunderstanding  with  customers  as risks  associated  with  customer  integration  in  NPD.  Extensive  customer  integration  may  also  limit  strategic  choices  in  product development  (Callahan  and  Lasry,  2004 ),  only  generate  familiar  ideas  and,  in  effect,  poor  innovation  performance (Frishammar  and  Hörte,  2005 ),  and  lead  to  unnecessary  distractions  and  confusion,  lowering  the  quality  of  information  for product  development  (Bonner,  2010 ). 2.2.3.  Internal  and  external  collaboration Gerwin  and  Barrowman  (2002)  and  Dröge  et  al.","Extensive  customer  integration  may  also  limit  strategic  choices  in  product development  (Callahan  and  Lasry,  2004 ),  only  generate  familiar  ideas  and,  in  effect,  poor  innovation  performance (Frishammar  and  Hörte,  2005 ),  and  lead  to  unnecessary  distractions  and  confusion,  lowering  the  quality  of  information  for product  development  (Bonner,  2010 )",yes,no,,
The impact of product-process complexity and new product development order winners on new product development performance - The mediating role of collaborative competence..txt," Specialization  can  lead  to  functional  isolation  and  conﬂicting  perspectives and  goals  (Swink,  2000 ).  Cross-functional  teams  are  considered  fundamental  for  overcoming  communication  barriers established  by  functional  silos  (Swink  et  al.,  1996 ).  A  combination  of  broad  jobs  and  cross-training  affects  new  product development  time,  because  employees  gain  a  clearer  understanding  of  the  relationships  among  tasks  and  processes. Secondment  and  co-location  are  also  considered  as  important  organizational  means  to  link  groups  of  people  (Paashuis and  Boer,  1997 ). Table  1 Sample  composition  (n  =  343).","A  combination  of  broad  jobs  and  cross-training  affects  new  product development  time,  because  employees  gain  a  clearer  understanding  of  the  relationships  among  tasks  and  processes",yes,no,,
The Internet of Things - Digital Revolution in Offline Market. Opportunity or Threat.txt," Opportunity or Threat? Summary According to eMarketer forecasts for the year 2015, there are 3.07 billion of  Internet users worldwide, what constitutes the 42.4% penetration ratio of this me- dium, whereas there are 15 billion of already plugged devices. Moreover, this num- ber will increase rapidly, as 200 billion of such items are expected by the end of the year 2020. The potential economic impact by the growth annual ratio of the Internet  of Things (IoT) is estimated to achieve between $2.7 to $6.2 trillion by 2025. The  largest influence is anticipated for healthcare and manufacturing sectors. The main aim of this article is to present the innovative approach of the IoT  idea, ennumerate juxtaposition of its opportunities and threats as well as to indicate its inner potential still being dormant.",The potential economic impact by the growth annual ratio of the Internet  of Things (IoT) is estimated to achieve between $2.7 to $6.2 trillion by 2025,yes,yes,yes,"""The potential economic impact by the growth annual ratio of the Internet  of Things (IoT) is estimated to achieve between $2.7 to $6.2 trillion by 2025."""
